COMPANY,COUNTRY,MARKET,MARKET NAME
Radware Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Randgold & Exploration Co. Ltd.,South Africa,NMS,Nasdaq Stock Market-National Market System 
Range Petroleum Corp.,Canada,OTC,Over-the-Counter Market 
Rank Group plc,United Kingdom,SM CAP,Nasdaq Stock Market-Small Cap Market 
Realax Software AG,Germany,OTC,Over-the-Counter Market 
"Receptagen, Ltd.",Canada,OTC,Over-the-Counter Market 
Rediff.com India Ltd.,India,NMS,Nasdaq Stock Market-National Market System 
Reed International plc,United Kingdom,NYSE,New York Stock Exchange 
Reg Technologies Inc.,Canada,OTC,Over-the-Counter Market 
Regional Independent Media Group plc,United Kingdom,OTC,Over-the-Counter Market 
Regus plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Repadre Capital Corp.,Canada,OTC,Over-the-Counter Market 
Repsol YPF S.A.,Spain,NYSE,New York Stock Exchange 
Republic Goldfields Inc.,Canada,OTC,Over-the-Counter Market 
Research in Motion Ltd.,Canada,NMS,Nasdaq Stock Market-National Market System 
Resource Finance & Investments Ltd.,Canada,OTC,Over-the-Counter Market 
Retalix Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Reuters Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Revenue Properties Co. Ltd.,Canada,OTC,Over-the-Counter Market 
Rhodia,France,NYSE,New York Stock Exchange 
Richmont Mines Inc.,Canada,AMEX,American Stock Exchange 
Ricoh Company Ltd.,Japan,OTC,Over-the-Counter Market 
Rio Algom Ltd.,Canada,OTC,Over-the-Counter Market 
Rio Narcea Gold Mines Ltd.,Canada,OTC,Over-the-Counter Market 
Rio Tinto Ltd.,Australia,OTC,Over-the-Counter Market 
Rio Tinto plc,United Kingdom,NYSE,New York Stock Exchange 
RIT Technologies Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Ritchie Bros. Auctioneers Inc.,Canada,NYSE,New York Stock Exchange 
Riverdeep Group plc,Ireland,NMS,Nasdaq Stock Market-National Market System 
RoboGroup T.E.K. Ltd.,Israel,SM CAP,Nasdaq Stock Market-Small Cap Market 
Robomatix Technologies Ltd.,Israel,OTC,Over-the-Counter Market 
Rockwell Ventures Inc.,Canada,OTC,Over-the-Counter Market 
Rogers Communications Inc.,Canada,NYSE,New York Stock Exchange 
Rogers Wireless Communications Inc.,Canada,NYSE,New York Stock Exchange 
Rosedale Decorative Products Ltd.,Canada,OTC,Over-the-Counter Market 
Royal & Sun Alliance Insurance Group plc,United Kingdom,NYSE,New York Stock Exchange 
Royal Ahold Ltd. - Koninklijke Ahold N.V.,Netherlands,NYSE,New York Stock Exchange 
Royal Bank of Canada,Canada,NYSE,New York Stock Exchange 
Royal Bank of Scotland Group,United Kingdom,NYSE,New York Stock Exchange 
Royal Caribbean Cruises Ltd.,Liberia,NYSE,New York Stock Exchange 
Royal Dutch Petroleum Co.,Netherlands,NYSE,New York Stock Exchange 
Royal Group Technologies Ltd.,Canada,NYSE,New York Stock Exchange 
Royal Olympic Cruise Lines Inc.,Liberia,NMS,Nasdaq Stock Market-National Market System 
Royal Standard Minerals Inc.,Canada,OTC,Over-the-Counter Market 
Rtica Corp.,Canada,OTC,Over-the-Counter Market 
Rubicon Minerals Corp.,Canada,OTC,Over-the-Counter Market 
Russel Metals Inc.,Canada,OTC,Over-the-Counter Market 
Ryanair Holdings plc,Ireland,NMS,Nasdaq Stock Market-National Market System 
Sadia S.A.,Brazil,NYSE,New York Stock Exchange 
SAES Getters S.p.A.,Italy,NMS,Nasdaq Stock Market-National Market System 
Samex Mining Corp.,Canada,OTC,Over-the-Counter Market 
San Antonios Resources Inc.,Canada,OTC,Over-the-Counter Market 
San Telmo Resources Ltd.,Canada,OTC,Over-the-Counter Market 
Sand Technology Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Sanpaolo-IMI S.p.A.,Italy,NYSE,New York Stock Exchange 
Santa Isabel S.A.,Chile,NYSE,New York Stock Exchange 
SAP Aktiengesellschaft,Germany,NYSE,New York Stock Exchange 
Sapiens International Corp. N.V.,Neth. Antilles,NMS,Nasdaq Stock Market-National Market System 
Sappi Ltd.,South Africa,NYSE,New York Stock Exchange 
Satelites Mexicanos S.A. de C.V.,Mexico,OTC,Over-the-Counter Market 
Satyam Computer Services Ltd.,India,NYSE,New York Stock Exchange 
Satyam Infoway Ltd.,India,NMS,Nasdaq Stock Market-National Market System 
"Savia, S.A. de C.V.",Mexico,NYSE,New York Stock Exchange 
SBS Broadcasting S.A.,Luxembourg,NMS,Nasdaq Stock Market-National Market System 
Scania AB,Sweden,NYSE,New York Stock Exchange 
Schering Aktiengesellschaft,Germany,NYSE,New York Stock Exchange 
Schroder Ventures International Investment Trust,United Kingdom,OTC,Over-the-Counter Market 
Scitex Corp. Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Scoot.com plc,United Kingdom,OTC,Over-the-Counter Market 
SCOR,France,NYSE,New York Stock Exchange 
Scottish Power plc,United Kingdom,NYSE,New York Stock Exchange 
SCS Solars Computing Systems Inc.,Canada,OTC,Over-the-Counter Market 
Sea Containers Ltd.,Bermuda,NYSE,New York Stock Exchange 
Seat Pagine Gialle S.p.A.,Italy,OTC,Over-the-Counter Market 
Secureview Systems Inc.,Canada,OTC,Over-the-Counter Market 
Sense Technologies Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Serono S.A.,Switzerland,NYSE,New York Stock Exchange 
Seven Seas Petroleum Inc.,Canada,AMEX,American Stock Exchange 
SGL Carbon Aktiengesellschaft,Germany,NYSE,New York Stock Exchange 
Sharpe Resources Corp.,Canada,OTC,Over-the-Counter Market 
Shaw Communications Inc.,Canada,NYSE,New York Stock Exchange 
Shell Canada Ltd.,Canada,OTC,Over-the-Counter Market 
Shell Transport and Trading Co. Ltd.,United Kingdom,NYSE,New York Stock Exchange 
Siderca S.A.I.C.,Argentina,NYSE,New York Stock Exchange 
Sideware Systems Inc.,Canada,OTC,Over-the-Counter Market 
Siemens Aktiengesellschaft,Germany,NYSE,New York Stock Exchange 
"Sierra Wireless, Inc.",Canada,NMS,Nasdaq Stock Market-National Market System 
Signet Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Silent Witness Enterprises Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Silicom Ltd.,Israel,SM CAP,Nasdaq Stock Market-Small Cap Market 
Siliconware Precision Industries Co. Ltd.,Taiwan,NMS,Nasdaq Stock Market-National Market System 
Silver Standard Resources Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Silverado Gold Mines Ltd.,Canada,OTC,Over-the-Counter Market 
Silverline Technologies Ltd.,India,NYSE,New York Stock Exchange 
Sina.com,Cayman Islands,NMS,Nasdaq Stock Market-National Market System 
Sinopec Shanghai Petrochemical Co. Ltd.,China,NYSE,New York Stock Exchange 
Six Continents plc,United Kingdom,NYSE,New York Stock Exchange 
SK Telecom Corp.,Korea,NYSE,New York Stock Exchange 
Skyepharma plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
SmarTire Systems Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Smartlogik Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Smedvig ASA,Norway,NYSE,New York Stock Exchange 
Smith & Nephew plc,United Kingdom,NYSE,New York Stock Exchange 
Softcare EC.com Inc.,Canada,OTC,Over-the-Counter Market 
Sonera Corp.,Finland,NMS,Nasdaq Stock Market-National Market System 
Song Networks Holding AB,Sweden,NMS,Nasdaq Stock Market-National Market System 
Song Networks N.V.,Netherlands,OTC,Over-the-Counter Market 
Sonus Corp.,Canada,AMEX,American Stock Exchange 
Sony Corp.,Japan,NYSE,New York Stock Exchange 
Sopheon plc,United Kingdom,OTC,Over-the-Counter Market 
Southwestern Resources Corp.,Canada,OTC,Over-the-Counter Market 
Sparkling Spring Water Group Ltd.,Canada,OTC,Over-the-Counter Market 
Spectrum Signal Processing Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Spirent plc,United Kingdom,NYSE,New York Stock Exchange 
Sportech plc,United Kingdom,OTC,Over-the-Counter Market 
Spur Ventures Inc.,Canada,OTC,Over-the-Counter Market 
SQM - Sociedad Quimica y Minera S.A.,Chile,NYSE,New York Stock Exchange 
ST Assembly Test Services Ltd.,Singapore,NMS,Nasdaq Stock Market-National Market System 
Stagecoach Holdings plc,United Kingdom,OTC,Over-the-Counter Market 
Stake Technology Ltd.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Star Choice Communications Inc.,Canada,OTC,Over-the-Counter Market 
Star Resources Corp.,Canada,OTC,Over-the-Counter Market 
Starfield Resources Inc.,Canada,OTC,Over-the-Counter Market 
Stargate Entertainment Inc.,Canada,OTC,Over-the-Counter Market 
Statoil ASA,Norway,NYSE,New York Stock Exchange 
Stelmar Shipping Ltd.,Liberia,NYSE,New York Stock Exchange 
Stena Line AB,Sweden,OTC,Over-the-Counter Market 
STET Hellas Telecommunications S.A.,Greece,NMS,Nasdaq Stock Market-National Market System 
STMicroelectronics N.V.,Netherlands,NYSE,New York Stock Exchange 
Stockscape.com Technology Inc.,Canada,OTC,Over-the-Counter Market 
Stolt Nielsen S.A.,Luxembourg,NMS,Nasdaq Stock Market-National Market System 
Stolt Offshore S.A.,Luxembourg,NMS,Nasdaq Stock Market-National Market System 
Stora Enso OYJ,Finland,NYSE,New York Stock Exchange 
Stressgen Biotechnologies Corp.,Canada,OTC,Over-the-Counter Market 
Suez,France,NYSE,New York Stock Exchange 
Sulzer Medica Ltd.,Switzerland,NYSE,New York Stock Exchange 
Sun International Hotels Ltd.,Bahamas,NYSE,New York Stock Exchange 
Sun Life Financial Services of Canada,Canada,NYSE,New York Stock Exchange 
Sun Media Corp.,Canada,OTC,Over-the-Counter Market 
Suncor Energy Inc.,Canada,NYSE,New York Stock Exchange 
Sunday Communications Ltd.,Cayman Islands,NMS,Nasdaq Stock Market-National Market System 
Sungold Entertainment Corp.,Canada,OTC,Over-the-Counter Market 
Supermercados Unimarc S.A.,Chile,NYSE,New York Stock Exchange 
Super-Sol Ltd.,Israel,NYSE,New York Stock Exchange 
Swedish Export Credit Corp.,Sweden,NYSE,New York Stock Exchange 
Swedish Match AB,Sweden,NMS,Nasdaq Stock Market-National Market System 
Swisscom,Switzerland,NYSE,New York Stock Exchange 
Syngenta AG,Switzerland,NYSE,New York Stock Exchange 
SYNSORB Biotech Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
T.V.G. Technologies Ltd.,Israel,OTC,Over-the-Counter Market 
Taiwan Semiconductor Manufacturing Co. Ltd.,Taiwan,NYSE,New York Stock Exchange 
Talisman Energy Inc.,Canada,NYSE,New York Stock Exchange 
Talisman Enterprise Inc.,Canada,OTC,Over-the-Counter Market 
Taro Pharmaceutical Industries Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Taseko Mines Ltd.,Canada,OTC,Over-the-Counter Market 
TAT Technologies Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
TDC A/S,Denmark,NYSE,New York Stock Exchange 
TDK Corp.,Japan,NYSE,New York Stock Exchange 
TDL Infomedia Group plc,United Kingdom,OTC,Over-the-Counter Market 
Technip-Coflexip,France,NYSE,New York Stock Exchange 
Techsite Strategies Corp.,Canada,OTC,Over-the-Counter Market 
Teck Ltd.,Canada,OTC,Over-the-Counter Market 
Tecnomatix Technologies Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Teekay Shipping Inc.,Marshall Islands,NYSE,New York Stock Exchange 
Tefron Ltd.,Israel,NYSE,New York Stock Exchange 
Tele Celular Sul Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Tele Centro Oeste Celular Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Tele Leste Celular Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Tele Nordeste Celular Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Tele Norte Celular Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Tele Norte Leste Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Tele Sudeste Celular Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Tele2 AB,Sweden,NMS,Nasdaq Stock Market-National Market System 
Telebras S.A.,Brazil,OTC,Over-the-Counter Market 
Telecom Argentina STET France Telecom S.A.,Argentina,NYSE,New York Stock Exchange 
Telecom Corp of New Zealand Ltd.,New Zealand,NYSE,New York Stock Exchange 
Telecom Italia S.p.A.,Italy,NYSE,New York Stock Exchange 
Telecomunicaios de Sao Paulo S.A. - Telesp,Brazil,NYSE,New York Stock Exchange 
Telefonaktiebolaget L M Ericsson,Sweden,NMS,Nasdaq Stock Market-National Market System 
Telefonica de Argentina S.A.,Argentina,NYSE,New York Stock Exchange 
Telefonica del Peru S.A.,Peru,NYSE,New York Stock Exchange 
"Telefonica Holding of Argentina, Inc.",Argentina,OTC,Over-the-Counter Market 
"Telefonica Moviles, S.A.",Spain,NYSE,New York Stock Exchange 
Telefonica S.A.,Spain,NYSE,New York Stock Exchange 
Telefonos de Mexico S.A. de C.V.,Mexico,NYSE,New York Stock Exchange 
Teleglobe Inc.,Canada,OTC,Over-the-Counter Market 
Telekom Austria,Austria,NYSE,New York Stock Exchange 
Telemig Celular Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Telenor ASA,Norway,NMS,Nasdaq Stock Market-National Market System 
Telesis North Communications Inc.,Canada,OTC,Over-the-Counter Market 
Telesp Celular Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Telesystem International Wireless Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
TeleWest Communications plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Telex Chile S.A.,Chile,NYSE,New York Stock Exchange 
Telstra Corp Ltd.,Australia,NYSE,New York Stock Exchange 
Telus Corp.,Canada,NYSE,New York Stock Exchange 
Tembec Industries Inc.,Canada,OTC,Over-the-Counter Market 
Terra Networks S.A.,Spain,NMS,Nasdaq Stock Market-National Market System 
Terra Nova Bermuda Holdings Ltd.,Bermuda,OTC,Over-the-Counter Market 
Tesco Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Tesma International Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Teva Pharmaceutical Industries Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Tevecap S.A.,Brazil,OTC,Over-the-Counter Market 
Texon International plc,United Kingdom,OTC,Over-the-Counter Market 
"TFM, S.A. de C.V.",Mexico,OTC,Over-the-Counter Market 
Thermo Tech Technologies Corp.,Canada,OTC,Over-the-Counter Market 
Thinkpath.com Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Thomson Corp,Canada,OTC,Over-the-Counter Market 
Thomson Multimedia,France,NYSE,New York Stock Exchange 
Thrilltime Entertainment International Inc.,Canada,OTC,Over-the-Counter Market 
Thrush Industries Inc.,Canada,OTC,Over-the-Counter Market 
Tioga Technologies Ltd.,Israel,OTC,Over-the-Counter Market 
Titan Trading Analytics Inc.,Canada,OTC,Over-the-Counter Market 
TLC The Laser Center Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
TM Group Holdings plc,United Kingdom,OTC,Over-the-Counter Market 
"Tokio Marine & Fire Insurance Co., Ltd.",Japan,NMS,Nasdaq Stock Market-National Market System 
Tomkins plc,United Kingdom,NYSE,New York Stock Exchange 
Toolex International N.V.,Netherlands,OTC,Over-the-Counter Market 
Top Image Systems Ltd.,Israel,SM CAP,Nasdaq Stock Market-Small Cap Market 
Toronto-Dominion Bank,Canada,NYSE,New York Stock Exchange 
TotalFinaElf S.A.,France,NYSE,New York Stock Exchange 
Tower Semiconductor Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Toyota Motor Corp.,Japan,NYSE,New York Stock Exchange 
TPG N.V.,Netherlands,NYSE,New York Stock Exchange 
TPN Holdings plc,United Kingdom,AMEX,American Stock Exchange 
Tracer Petroleum Corp.,Canada,OTC,Over-the-Counter Market 
Trade Wind Communications Ltd.,Bermuda,OTC,Over-the-Counter Market 
Trader.com N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
TradeRadius Online Inc.,Canada,OTC,Over-the-Counter Market 
Tramford International Ltd.,British Virgin Islands,NMS,Nasdaq Stock Market-National Market System 
TransAlta Corp.,Canada,NYSE,New York Stock Exchange 
TransCanada Pipelines Ltd.,Canada,NYSE,New York Stock Exchange 
Transco plc,United Kingdom,NYSE,New York Stock Exchange 
Transcom Worldwide S.A.,Luxembourg,NMS,Nasdaq Stock Market-National Market System 
Transgene S.A.,France,NMS,Nasdaq Stock Market-National Market System 
Transglobe Energy Corp.,Canada,OTC,Over-the-Counter Market 
Trans-Orient Petroleum Inc.,Canada,OTC,Over-the-Counter Market 
Transportadora de Gas del Sur S.A.,Argentina,NYSE,New York Stock Exchange 
Transtel S.A.,Colombia,OTC,Over-the-Counter Market 
Tranz Rail Holdings Ltd.,New Zealand,NMS,Nasdaq Stock Market-National Market System 
Travelex plc,United Kingdom,OTC,Over-the-Counter Market 
Trenche Electric S.A.,France,OTC,Over-the-Counter Market 
Trend Micro Inc.,Japan,NMS,Nasdaq Stock Market-National Market System 
Triant Technologies Inc.,Canada,OTC,Over-the-Counter Market 
Triband Resource Corp.,Canada,OTC,Over-the-Counter Market 
"Tricom, S.A.",Dominican Republic,NYSE,New York Stock Exchange 
Trimark Oil & Gas Ltd.,Canada,OTC,Over-the-Counter Market 
Trinity Biotech plc,Ireland,SM CAP,Nasdaq Stock Market-Small Cap Market 
Trintech Group plc,Ireland,NMS,Nasdaq Stock Market-National Market System 
Triple P N.V.,Netherlands,SM CAP,Nasdaq Stock Market-Small Cap Market 
Trivalence Mining Corp.,Canada,OTC,Over-the-Counter Market 
Trizec Hahn Corp.,Canada,NYSE,New York Stock Exchange 
Trooper Technologies Inc.,Canada,OTC,Over-the-Counter Market 
TTI Team Telecom International Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Tubos de Acero de Mexico S.A.,Mexico,AMEX,American Stock Exchange 
Turbodyne Technologies Inc.,Canada,OTC,Over-the-Counter Market 
Turkcell Iletisim Hizmetleri AS,Turkey,NYSE,New York Stock Exchange 
"TV Azteca, S.A. de C.V.",Mexico,NYSE,New York Stock Exchange 
TVX Gold Inc.,Canada,NYSE,New York Stock Exchange 
Twin Mining Corp.,Canada,OTC,Over-the-Counter Market 
UBS AG,Switzerland,NYSE,New York Stock Exchange 
Ultra Petroleum Corp.,Canada,OTC,Over-the-Counter Market 
Ultrapar Participacoes S.A.,Brazil,NYSE,New York Stock Exchange 
Ultrapetrol (Bahamas) Ltd.,Bahamas,OTC,Over-the-Counter Market 
Unibail,France,OTC,Over-the-Counter Market 
Unibanco Holdings S.A.,Brazil,NYSE,New York Stock Exchange 
Unibanco-Uniao de Bancos Brasileiros S.A.,Brazil,NYSE,New York Stock Exchange 
Uniglobe.com Inc.,Canada,OTC,Over-the-Counter Market 
Unilens Vision Inc.,Canada,OTC,Over-the-Counter Market 
Unilever N.V.,Netherlands,NYSE,New York Stock Exchange 
Unilever plc,United Kingdom,NYSE,New York Stock Exchange 
United Biscuits Finance plc,United Kingdom,OTC,Over-the-Counter Market 
United Business Media plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
United Microelectronics Corp.,Taiwan,NYSE,New York Stock Exchange 
United Utilities plc,United Kingdom,NYSE,New York Stock Exchange 
Universal Domains Inc.,Canada,OTC,Over-the-Counter Market 
UPM Kymmene Miramichi Inc.,Canada,OTC,Over-the-Counter Market 
UPM-Kymmene OYJ,Finland,NYSE,New York Stock Exchange 
Usinor Sacilor,France,OTC,Over-the-Counter Market 
UTi Worldwide Inc.,British Virgin Islands,NMS,Nasdaq Stock Market-National Market System 
Van der Moolen Holding N.V.,Netherlands,NYSE,New York Stock Exchange 
Vancan Capital Corp.,Canada,OTC,Over-the-Counter Market 
Vannessa Ventures Ltd.,Canada,OTC,Over-the-Counter Market 
Vantico Group S.A.,Luxembourg,OTC,Over-the-Counter Market 
"Vasogen, Inc.",Canada,AMEX,American Stock Exchange 
Venture Pacific Development Corp.,Canada,OTC,Over-the-Counter Market 
Verena Minerals Corp.,Canada,OTC,Over-the-Counter Market 
Veritas Holdings GmbH,Germany,OTC,Over-the-Counter Market 
Vernalis Group plc,United Kingdom,OTC,Over-the-Counter Market 
Veronex Technologies Inc.,Canada,OTC,Over-the-Counter Market 
Versatel Telecom International N.V.,Netherlands,NMS,Nasdaq Stock Market-National Market System 
VI Group plc,United Kingdom,OTC,Over-the-Counter Market 
Videsh Sanchar Nigam Ltd.,India,NYSE,New York Stock Exchange 
Vimpel Communications,Russia,NYSE,New York Stock Exchange 
Vina Concha y Toro S.A.,Chile,NYSE,New York Stock Exchange 
Virgin Express Holdings plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Virginia Gold Mines Inc.,Canada,OTC,Over-the-Counter Market 
VirtualSellers.com Inc,Canada,OTC,Over-the-Counter Market 
Viryanet Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Visible Genetics Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Vista Gold Corp.,Canada,AMEX,American Stock Exchange 
Vitran Co. Ltd.,Canada,AMEX,American Stock Exchange 
Vitro S.A.,Mexico,NYSE,New York Stock Exchange 
Vivendi Environment,France,NYSE,New York Stock Exchange 
Vivendi Universal,France,NYSE,New York Stock Exchange 
Vocaltec Communications Ltd.,Israel,NMS,Nasdaq Stock Market-National Market System 
Vodafone Group plc,United Kingdom,NYSE,New York Stock Exchange 
VoiceIQ Inc.,Canada,OTC,Over-the-Counter Market 
Votorantim Celulose e Papel S.A.,Brazil,NYSE,New York Stock Exchange 
W.P. Stewart & Co. Ltd.,Bermuda,NYSE,New York Stock Exchange 
Wacoal Corp.,Japan,SM CAP,Nasdaq Stock Market-Small Cap Market 
Waterford Wedgwood plc,Ireland,NMS,Nasdaq Stock Market-National Market System 
Waterford Wedgwood UK plc,United Kingdom,OTC,Over-the-Counter Market 
Wavecom S.A.,France,NMS,Nasdaq Stock Market-National Market System 
Wescast Industries Inc.,Canada,NMS,Nasdaq Stock Market-National Market System 
Westaim Corp.,Canada,NMS,Nasdaq Stock Market-National Market System 
Westcoast Energy Inc.,Canada,NYSE,New York Stock Exchange 
Westpac Banking Corp.,Australia,NYSE,New York Stock Exchange 
Wharf Holdings Ltd.,Hong Kong,OTC,Over-the-Counter Market 
"WideCom Group, Inc.",Canada,OTC,Over-the-Counter Market 
William Hill Ltd.,United Kingdom,OTC,Over-the-Counter Market 
Willis Group Holdings Ltd.,Bermuda,NYSE,New York Stock Exchange 
Willis Group Ltd.,United Kingdom,OTC,Over-the-Counter Market 
Wipro Ltd.,India,NYSE,New York Stock Exchange 
WMC Ltd.,Australia,NYSE,New York Stock Exchange 
Wolseley plc,United Kingdom,NYSE,New York Stock Exchange 
Workstream Inc.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
World Gaming plc,United Kingdom,OTC,Over-the-Counter Market 
World Heart Corp.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
World Ventures Inc.,Canada,OTC,Over-the-Counter Market 
WorldWide Technologies Inc.,Canada,OTC,Over-the-Counter Market 
WPP Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Xcelera.com Inc.,Cayman Islands,AMEX,American Stock Exchange 
Xeikon N.V.,Belgium,NMS,Nasdaq Stock Market-National Market System 
Xenova Group plc,United Kingdom,NMS,Nasdaq Stock Market-National Market System 
Yanzhou Coal Mining Co. Ltd.,China,NYSE,New York Stock Exchange 
Yellow Pages Ltd.,Netherlands,OTC,Over-the-Counter Market 
Yorkshire Power Group Ltd.,United Kingdom,NYSE,New York Stock Exchange 
YPF S.A.,Argentina,NYSE,New York Stock Exchange 
Zarlink Semiconductor Inc.,Canada,NYSE,New York Stock Exchange 
Zemex Corp.,Canada,NYSE,New York Stock Exchange 
Zi Corp.,Canada,SM CAP,Nasdaq Stock Market-Small Cap Market 
Ztest Electronics Inc.,Canada,OTC,Over-the-Counter Market 
